clinicID,clinicName,clinicAddress,creditCardNumber
fe4aa784-50d2-4f86-9c50-c332c0cf30f4,Cassius,Blantyre,550998193829
bc8ded56-2cd8-4ca1-95b6-fbe66b19c3a4,Leler,Belize City,842939809284
5dc3fdff-b129-4003-a3d9-56d5d0755849,Greenwald,Faisalabad,800499855982
16ac4c8f-909d-4efc-b44e-00f66e52e0d2,Orpah,Chuí,525352432430
4e195a35-1072-478d-8a1e-31d0e48f6d96,Peonir,Arequipa,311774356409
ea11ed44-c40b-4d58-9a2b-0c9c9de985ec,Gaal,Tirana,706741114749
359b87f2-4aaa-4632-b091-a0b50987153f,Love,Jamestown,693496291452
370c8841-46fe-47eb-919a-901b52708aa8,Rooney,São José dos Campos,118305998354
2ac46952-8343-4a87-abb9-b7beea9ae9b2,Markman,Melekeok,947625202830
f4dabac6-c573-4ee9-85de-0c65bd85d6ac,Vilma,Suez,765991942960
ec0aa249-3e81-4d86-9ddc-2d1268e3c9ff,Elvyn,Multan,488221706732
4bf1014b-a175-4fb0-8bb7-7dd1b1d55626,Modie,Bursa,305688642111
1590e293-87a2-4920-acb6-8c5ea355795f,Durware,Port Elizabeth,064704571802
22cb1fe9-5a6d-4936-9018-2b59de5e3b49,Ajay,La Serena,864988226345
2eb65445-1d1c-436e-b5bb-90877e936e6d,Saree,Kuala Lumpur,110051932024
409387fd-b7a4-4f8a-a577-f01bbd53ba84,Smitt,Ushuaia,110380959117
55dff1a0-8498-4877-bda3-c92d50aaa8e2,Bigner,Panama City,636531874667
06838543-2f30-4658-b04b-157bdf83b309,Tjon,Magadan,811410792824
e5885568-6e00-4a98-ac08-77e22cb20984,Ludewig,Xi'an,915421705654
341b7bd6-1b2b-404a-bada-3baa83d804a8,Wesle,Lyon,432956161348
60634f3c-a510-43cb-97b9-433769b9a825,Seagraves,Chongjin,312926186860
0737bbe8-e23a-401d-b424-33bb1af620ff,Imelida,Louisville,609722235534
3a90f2c9-b174-4ebe-8ccc-2c01c65e4bbb,Flyn,Sitka,394743067247
a84b187e-abf5-4325-a990-5749756b66bd,Shaddock,Fort-de-France,090312031415
96047185-40f0-433e-8166-1a964315636c,Septima,Mexico City,656095428089
89f62549-98a4-478a-a291-e344b93398cd,Sidonius,Kathmandu,942451931265
b11d2bf5-f48e-4e38-9179-ee0f50827042,Mallon,Hyderabad,731428066826
dda72ac7-a129-49fb-bd40-413a331c8a85,Muriel,Yakutsk,532863321322
778d893b-c5f8-4f3e-8dba-50d49c0333aa,Aurelio,Wuhan,156932515495
bf0a6a8f-4e81-4f8e-98f1-2b7edb1ceb41,Lissi,Hanover,495605246021
